material_id,formula,exfoliation_energy (J/m^2)
859,S3Sb2,0.4257375609975487
288,Br5Sc2,0.2913553965048653
708,PSr2,0.6862716877554976
4693,H8BNaO7,0.6830833958313016
2977,Ba2P,0.43116043931893283
4745,NbS4Ti,0.4476405728447218
2605,B2Te3,0.22762076552240418
4817,F2O2W,0.395571851706768
478,S3V2,0.6643711845062423
4176,H2MgO2,0.43281056929473205
2563,I4Si,1.4650583340340122
289,Br3P,0.18924420729919827
5599,AlI7Te,0.23236338673437326
3960,O3SbTl,1.243381450461141
5340,FeO8P2Sb,1.2671001361310819
2677,HfTe2,0.43502281451530805
602,B2Se5,0.34698255150063195
2502,AlBi,0.4085126511804069
5470,BaO8Sn4,0.38343358695755386
4426,I3O9Sc,0.6121356028711592
3548,Pb4Pt,0.630500990292985
2452,BeCl2,0.19368130598879113
2914,Bi2Ti,0.7694304688968507
5415,F4V,0.2829604389396456
1642,CuI,0.3154342888719938
236,SbSi,0.35226447935232924
3353,I3Ir,0.28589037483077123
1219,Sr5Y,0.893849984720291
3752,ClNZr,0.2873720694929144
773,Sb2Se3,0.3924937731278892
1641,Si2Zr,3.522806557600181
3736,Se3Zr,0.3364505112534392
1955,FP4,3.010597887585316
5208,Cu2F5Li,0.7278671506218484
1792,CrS3,0.39215295184029775
325,AsSn,0.39796706807533705
870,F3Sb,0.37460032114873004
3064,Ga2S5Zn2,0.7216739605683066
3911,P5Tl,0.4222472061592738
1605,AgTe2,1.1033794692710646
4288,O8SnW2,0.3916216739792485
1635,Cl2Cr,0.35971268448264687
910,Ca2Co,0.9403703996719209
2199,P4Pb3,0.7736633720299646
5776,F3OV,0.26252518035389494
3195,Bi,0.554159417811467
1118,BS,0.35452767010983827
1188,I3In,0.2461839158071697
2939,In2O3,0.0210752209962114
1096,TeTl,0.3662441678345755
270,TaTe3,0.45345874773192335
4348,F4Pb,0.40309061761457
1972,AsCl3,0.23181734615728747
5942,N,0.0498211347667363
2094,BrNa2,0.6634095066880059
3419,BaFI,0.39995991402055975
900,I3Mn,0.3529198261920519
5512,FeS,0.41549118927130707
1868,PtSn3,1.1062790674744678
932,IrTe,0.5412040733463975
4788,FMnO,0.6677443194496933
3717,I2Mn,0.26792553711061173
4193,H2O6Se2Sr,0.585773841258001
1030,Cl5Sc2,0.30095757329913186
2890,B2Te3,0.24257729179575438
5474,FeSe,0.4047280469015784
3039,Te2W,0.3917647943521481
1947,S2Ta,0.43686627774413006
1222,I3Zr,0.26934806480319806
2028,BaF2,1.0728594800033648
960,Sn2Ti,1.844724519047783
4999,O5W2Zn,0.1668365691262739
1437,Br3V,0.3056260343736035
121,HSn3,0.2573816580468648
82,NSi,0.3681620768421184
3325,Fe2OS2Sr,1.7652663138453701
3901,FeO2,0.4725915686656133
1583,GaSe,0.3165141355845889
5335,H3AlO3,0.7865732176527992
3561,CCuO3,0.5178949015277722
5274,H3F3GaN,1.9460211851753186
1743,Cl7Mn2,0.2983344303128231
5070,AgClO4Pb4,0.5293939461699368
5907,Cu2O4W,0.3021966180988051
2418,F4Ti,0.0013219075881414184
2269,TeZr,0.3502865678471062
4072,OTl2,0.3382585507803327
939,Ca2Zn,1.0138802345410294
5720,O7P2WZn,1.3854365759603784
1660,Ba2Zn,0.6961137972051953
3504,ClOTi,0.2768571674450617
1413,Ta2Te,0.4913908834996419
3903,Co2O6Ti,1.2780211481958514
4516,FeS2Tl,0.5157776675879501
4303,Br2Cu3O6Te2,0.2951427220070574
4396,Bi2F4O,0.9166435810396687
4312,CuLiO2,0.8596753669469276
4751,O13V6,0.9383621898506196
3920,H2O7Ti3,0.7768429218954821
5501,CuLi2P,1.1133226745082525
439,Nb2S3,0.3944754503578851
2773,Cl5V,0.29356774653722995
5495,F6TiTl2,0.5130331927964042
5386,Hg2O7W2,0.5149815275600469
4945,CrFO,0.41628865257339237
4490,O8P2SnTi,0.6301170830340774
4746,Co2FeO6,0.386253959309514
3209,CdCl4,0.3102274845446923
5419,F6Mn3O,0.2976686468985721
2248,AgBr2,0.3693485017910833
2009,TeZn,0.32818375695714475
1253,F2Sc,0.2938023755390959
1678,RhSe,0.538356448528507
1546,Cl4Nb,0.3322544799084104
2325,PbTe,0.3125515858965399
5745,Cr4O9Zn,0.656252959153377
3791,F3ISn2,0.5247466882495609
5976,Fe3GeTe2,0.4059405180380267
3288,CoGeMg,1.9017602887739247
1412,Se3V2,0.521949003545524
4673,KSb2Se4,0.6326241142324329
4977,NiTaTe5,0.2913854254978556
176,CrF3,0.26361399287604864
1645,InS,0.31405277395125086
1985,Se3W,0.389073742798182
1397,Al2Fe,2.782764299658846
516,PdSe,0.3403170390467252
101,Br4P,0.5093855986469251
1372,Br8V3,0.30023519349634903
2324,FeSe2,0.30320458844954545
2244,Br2Pb,0.483750140662528
4896,CoNbTe2,0.4067784962301862
5823,GeMnSr,0.6771925669565223
5005,F9LiMn2,0.441988878272374
1416,Br2Hg,0.3399820251654054
4685,Sb2Se2Te,0.42300822757685425
5179,PdSe6Ta2,0.3933847507955882
1910,Ge4Ni,1.0303442317311828
4459,LiMnO4P,1.4866228490949287
4511,O5Te2Tl2,0.3491799068381773
365,HfS5,0.3447178915153982
5899,Mn3O12Se4,0.3078255444588694
961,I8V3,0.2996896082462789
3407,BrCrS,0.29518858128894815
3948,CAuClO,0.19173453893958306
3095,Te2V,0.4807065339507692
95,Cu2S,0.7207246584022765
307,OsSe,0.4219247201418674
4636,H2O2Pb,0.41679150041563173
4234,O5W2,0.9619087836732115
5154,MoO2,0.22946456406858892
770,STa,0.42501498726833314
3968,FOSb,0.36376757652797015
1731,ClTe,0.3212332642592981
873,BaF2,0.7540585465529773
1401,FeSn2,1.6403349241455296
4802,Nb2Te3,0.4372839834622774
4181,HgPSe3,0.32398237532239366
3086,OPYZn,1.1733299284166154
4358,CrP2S7,0.2256470506985698
3613,ClNaO4,0.5026396177256472
2476,Al2Se3,0.9992267876300946
3217,CH,0.2042901517193175
115,SeSi,0.2699302255369813
1387,CoMg2,1.1962098350822887
5418,MgO8Sb4,0.7642324720796247
5256,P2S6Sn,0.3292269662982141
3814,CCuLiO3,0.48700213140519155
728,As3Sn,0.9522185336739641
5676,Co3O16Te2V3,0.17237443085575577
5430,GaO7Sb2Sr2,0.8325184252221655
2996,NiSbSi,0.6231514520440734
343,TeTl,0.7949253130685322
4982,F8Mn3,0.22945745150094624
929,Cl2Y,0.2847902937218069
511,F3W,0.29380446349581635
1005,BrGa,0.34195195075885654
389,Bi2Se5,0.6203056984199751
5871,ClCr3O8Se2,0.2548222048546101
5143,Ba2Cr3O7,0.2226857769552576
5916,Cu2O4W,0.4009893834774635
1774,Bi9Br2,0.5752404025138096
183,Cu2Te,0.6637772730454825
2976,BiCa2,0.7385314856763008
3486,Te2W,0.3656602229538748
5001,NiO8Re2,0.420904742216616
1507,Se3Tl4,0.7850003547439579
1783,Br2Cr,0.3162272708723521
3433,ClZr,0.3302398202857186
774,GeTe,0.24114145785919114
2318,Ru3S4,0.41815253004466935
4465,AuBrO2,0.28723637673457514
1936,Pb3Pd,0.926376814308447
