ID,exfoliation_energy (J/m^2),min:bulk_modulus (GPa),min:thermal_conductivity (W / m / K),min:evaporation_heat (KJ / mol),max:num_p_valence,ave:num_p_valence,min:boiling_point (K),ave:thermal_conductivity (W / m / K),var:heat_capacity_molar (J / mol / K),ave:hhi_r,var:num_p_valence,ave:electron_affinity (eV),max:electron_affinity (eV),min:melting_point (K),min:heat_of_formation (KJ / mol),max:heat_capacity_molar (J / mol / K),ave:icsd_volume (cm^3 / mol),ave:mendeleev_number,min:vdw_radius_uff (pm),max:thermal_conductivity (W / m / K),var:electron_affinity (eV),max:mendeleev_number,ave:vdw_radius_uff (pm),ave:heat_capacity_molar (J / mol / K),sum:thermal_conductivity (W / m / K),ave:bulk_modulus (GPa)
3419,0.39995991402055975,7.7,0.0277,6.54,5.0,3.333333333333333,85.01,6.1589,137.79113688888887,2866.6666666666665,5.555555555555555,2.2016155,3.4011897000000006,53.53,79.335,54.43,40.60333333333333,71.0,336.4,18.0,2.135126678006527,102.0,385.56666666666666,37.93466666666666,36.9534,21.36631316575422
900,0.3529198261920519,7.7,0.449,41.95,5.0,3.75,457.5,2.28675,148.15726875,4050.0,4.6875,2.9367853049391655,3.0590368,386.7,106.757,54.43,34.9325,87.75,296.1,7.8,0.04483628413382776,97.0,411.525,47.402499999999996,54.882,35.775
5512,0.41549118927130707,7.7,0.205,10.5,4.0,2.0,717.824,40.1025,1.4400000000000026,1200.0,4.0,1.114052015,2.07710403,386.0,277.17,25.1,18.77,77.5,291.2,80.0,0.9274691835955603,94.0,347.35,23.9,160.41,88.85
1868,1.1062790674744678,58.0,67.0,296.0,2.0,1.5,2543.0,68.25,0.23941874999999957,3475.0,0.75,1.36605025,2.128,505.1,301.2,26.99,24.0625,79.25,275.4,72.0,0.19352247384168758,83.0,398.25,26.7075,1092.0,101.0
932,0.5412040733463975,65.0,3.0,49.8,4.0,2.0,1263.0,76.5,0.09922499999999969,7000.0,4.0,1.767338,1.970876,722.7,196.6,25.73,23.91,79.0,284.0,150.0,0.041427717444,92.0,365.5,25.415,306.0,192.5
4788,0.6677443194496933,46.798939497262666,0.02658,6.54,5.0,3.0,85.01,2.618093333333333,4.211232888888886,1266.6666666666665,4.666666666666667,2.4774446732522204,3.4011897000000006,53.53,79.335,31.304,15.326666666666664,87.66666666666666,296.1,7.8,0.631602040896678,102.0,327.5,29.000666666666664,15.70856,80.96832678259497
3717,0.26792553711061173,7.7,0.449,41.95,5.0,3.333333333333333,457.5,2.899333333333333,175.5938,3800.0,5.555555555555555,2.8960348065855532,3.0590368,386.7,106.757,54.43,32.406666666666666,84.66666666666666,296.1,7.8,0.05313929971416623,97.0,398.7,45.059999999999995,8.698,45.13333333333333
4193,0.585773841258001,8.3,0.02658,0.904,4.0,2.909090909090909,20.28,3.3236800000000004,2.461538330578509,2260.282083413571,3.173553719008264,1.3058555454545453,2.02067,14.01,164.0,29.378,25.809090909090912,92.0909090909091,288.6,35.0,0.30521899014592974,103.0,352.93636363636364,28.31418181818182,73.12096,59.937818029264896
1030,0.30095757329913186,1.1,0.0089,20.41,5.0,3.5714285714285716,238.6,4.577785714285714,14.499600204081627,2000.0,5.1020408163265305,2.6342321428571434,3.612725,172.2,121.302,33.949,27.88142857142857,76.14285714285715,329.5,16.0,2.3936206786989795,99.0,376.07142857142856,31.540714285714284,64.089,17.07142857142857
2890,0.24257729179575438,65.0,3.0,49.8,4.0,2.8,1263.0,12.600000000000001,51.46018776000001,3740.0,2.16,1.2944148,1.970876,722.7,196.6,25.73,23.464,89.6,408.3,27.0,0.6863996326581601,92.0,431.52,19.872799999999998,378.0,167.0
