,exfoliation_energy (J/m^2),ave:Polarizability,ave:atomic_number,ave:atomic_radius,ave:atomic_radius_rahm,ave:atomic_volume,ave:atomic_weight,sum:boiling_point,sum:hhi_r,var:boiling_point,var:c6_gb,var:evaporation_heat,var:hhi_p,var:hhi_r,var:melting_point,var:sound_velocity,var:thermal_conductivity,r1_1term,r1_2term,r1_3term,r1_4term,r2_1term,r2_2term,r2_3term,r2_4term
910,0.9403703996719209,19.166666666666664,22.333333333333332,172.99999999999997,254.0,22.166666666666664,46.36306466666666,6657.0,5700.0,426888.0,695413.5555555555,12324.500000000004,142222.22222222222,320000.0,95630.22222222222,184022.2222222222,2222.222222222222,0.9781550256288278,0.41407676287855066,0.7988182680493292,0.7509977678326433,0.6655737945387543,0.6667444334464593,0.6656480315215678,0.8488892792557017
2199,0.7736633720299646,5.065714285714286,43.71428571428571,148.14285714285714,234.1428571428571,17.557142857142857,106.49929257142857,8251.0,25800.0,522024.48979591834,29487.918367346938,4012.408163265307,120000.0,2666938.775510204,19662.176938775505,1907325.4938018867,295.96792555102036,0.4733051991779713,0.4402796372539979,0.5276710925576209,0.488201428378709,0.4896099558384581,0.5246332679849804,0.5225832811338852,0.48617728993901344
5776,0.26252518035389494,2.9746000000000006,11.600000000000001,136.45445256335046,182.4,14.73,24.787141895999998,15980.880000000001,33600.0,2031991.5533440004,142338.9904,32585.318979766555,822400.0,889600.0,709740.778456,1836042.085713266,153.48811408518398,0.5124546163339031,0.5185968245631156,0.43264659568706243,0.4256788364239683,0.4772313427886031,0.499400421690151,0.4972610407581075,0.4993050867181184
3195,0.554159417811467,7.4,83.0,170.0,250.0,21.3,208.9804,7532.0,24000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3983831749635607,0.41795946372495596,0.5353230109666247,0.5030776561237205,0.48060477428928483,0.6670880606899037,0.5364328885407987,0.6185499371682267
1118,0.35452767010983827,2.965,10.5,112.5,209.5,10.05,21.435000000000002,9297.648,6000.0,2581125.0017440002,416.15999999999997,61009.0,1210000.0,250000.0,1195742.25,38276038.90588777,179.49300625,0.7608735568244593,0.8374838803246174,0.8361555220475327,0.7437809861703487,0.6912362743004266,0.47819129496893753,0.4781550841852846,0.7367088837918737
1188,0.2461839158071697,6.562499999999999,52.0,154.55469358729724,240.0,23.2,123.8828525,7451.0,32800.0,673672.546875,12096.75,6289.485468750001,480000.0,1470000.0,340.5870750000001,806693.925520602,1246.9810501875002,0.25277533632171034,0.47014075944033973,0.3175136422213619,0.37253149111062,0.42863971444306126,0.43235041799236595,0.4301053495254328,0.2840746653893417
2939,0.0210752209962114,4.5612,24.400000000000002,154.12085218684498,201.0,14.68,55.5266,9953.14,11000.0,1228874.183064,94140.40560000001,10535.762694619529,1881600.0,540000.0,33663.655296,193321.5,1612.713980759136,0.5995054980585615,0.7049927878944784,0.6387000688319677,0.712300161611918,0.5782941030416852,0.6624893661848008,0.6605231886858998,0.6837119457722367
1096,0.3662441678345755,6.55,66.5,165.5,242.0,18.85,165.99,5986.0,22800.0,54522.25,361.0,3169.6900000000005,3240000.0,640000.0,5336.302500000002,802816.0,462.25,0.4834872998318567,0.4673275917648363,0.5366407427165474,0.5208066134836249,0.5142200887352735,0.5795051777815154,0.5773362691388908,0.5033019265983817
270,0.45345874773192335,7.4,57.25,157.25,246.0,18.1,140.93696999999997,56922.0,117000.0,3687979.6875,32448.0,94040.10749999998,67500.0,1875.0,1215683.191875,117018.75,546.75,0.5685914247001528,0.45925507401538823,0.2658434354766916,0.270246187800092,0.5507273743712413,0.295466128990561,0.2951036302565542,0.22342264933733397
4348,0.40309061761457,1.8416000000000001,23.6,142.2188913347584,180.20000000000002,17.340000000000003,56.638722527999995,2353.04,7800.0,594743.2704159999,43898.630399999995,4692.798016000001,230400.0,14400.0,47894.44710399999,392836.0616630097,195.68988276640002,0.31336415422013264,0.42663754561419065,0.3733077470374895,0.3686239564076932,0.39574433078256466,0.5003754812961709,0.4975042126822373,0.4484014979014877
