2dm_id (unitless),exfoliation_energy (J/m^2),ave:Polarizability,ave:atomic_number,ave:atomic_radius,ave:atomic_radius_rahm,ave:atomic_volume,ave:atomic_weight,sum:boiling_point,sum:hhi_r,var:boiling_point,var:c6_gb,var:evaporation_heat,var:hhi_p,var:hhi_r,var:melting_point,var:sound_velocity,var:thermal_conductivity
3936,0.3696216735678464,4.3545454545454545,43.63636363636363,150.74738477748363,223.8181818181818,17.372727272727275,102.55418181818182,37537.2,148600.0,1799704.147768595,36159.966942148756,25904.076535537188,26115.70247933884,1509752.0661157025,462623.66380165284,70978.68011435462,1156.1924231404957
3196,0.46829345222402563,10.317499999999999,24.0,142.5,227.5,13.372499999999999,54.955011,5269.35,18000.0,284970.82171875,230905.6875,4559.884999999999,211875.0,2970000.0,190346.06176875,1327968.75,1271.2235999999998
1713,0.5274016633298737,2.44775,14.5,135.767710626336,180.5,15.775000000000002,31.67955237,5862.06,12800.0,1258730.4712687498,37263.3075,13044.2508,3000000.0,30000.0,11662.567500000001,1416.444519923441,157.386406366875
5825,0.33275530836646866,4.924,19.4,132.4,221.8,15.229999999999999,40.713163200000004,11001.944,22100.0,740900.9591942402,179215.65,12471.7644,2042900.0,3138900.0,231176.25809999998,308414.69643135753,16511.265546160004
199,1.5044271350993002,4.773333333333333,38.33333333333333,141.33333333333331,224.33333333333331,14.433333333333334,88.6034,4401.2,13400.0,518094.1355555556,2592.0,8398.080000000002,222222.22222222222,4702222.222222222,123372.00222222219,124999.99999999999,40989.5712
1800,0.4375320177361192,5.449999999999999,30.25,132.5,225.0,14.35,69.28197,31405.888,31200.0,4650403.685807999,104626.6875,104766.796875,480000.0,2707500.0,1558441.6875,34102.44931928073,604.8135046875
4488,0.3500270645846581,10.571,17.0,160.6596797212312,198.66666666666666,20.638333333333335,36.81848333333333,17660.68,50400.0,1071487.3855805555,2859522.612222221,14109.781553694595,4034722.222222222,4683333.333333333,564345.9822222223,4260442.395833333,1390.8071881984888
1941,0.498288836748228,4.915,41.0,150.77765406903998,222.0,16.9,93.8861,5633.8,16600.0,1158959.9025,5929.0,12604.552899999999,1102500.0,7562500.0,234837.15999999997,4381.608716441326,46199.2036
5607,0.5615877319607279,4.51,44.5,145.63882703451998,222.25,15.475,105.75325,19038.92,70000.0,956628.91866875,1050.5,12370.975300000002,2212500.0,4726875.0,207302.34907499998,726311.4167956165,29565.298475
3304,0.4207482123452428,2.7534344,15.600000000000001,91.4,173.8,13.186000000000002,37.5744,12022.24,36052.41167019713,5587966.476544,90117.63841600003,108397.92403456001,1920372.753938057,120672.45900103264,2150317.228816,2438594.56,4614.18601284
5772,0.9791729170663426,2.65125,21.625,147.3758876946302,194.5,14.7625,49.842625,23267.8,55200.0,883374.4709609374,38365.14609375,8737.847103690561,1047343.75,3464375.0,214655.91749999998,1676445.99609375,17425.001496835095
4208,0.6603942215445863,2.2771999999999997,30.400000000000002,147.520852186845,192.7,14.39,72.983,3148.154,13300.0,76266.89695043999,12770.997599999999,402.2646243577634,5193600.0,1364100.0,13070.527824,1128051.1623716597,14.288686901136003
5588,0.8803208873918648,2.4652222222222218,15.555555555555555,133.36883235040537,181.88888888888889,13.422222222222224,33.51433508888889,18070.48,25000.0,1685605.5280469137,14196.292839506172,19550.669592986535,108395.06172839504,98765.43209876542,377209.0019506172,882774.31103974,35550.664464631
5685,1.4519284164597444,4.647384615384615,21.53846153846154,144.50856634548205,197.46153846153845,12.425384615384617,48.338826153846156,38083.04,59400.0,4648038.02747929,173911.63786982247,87422.24432701356,9672307.692307692,8825917.159763316,1559119.8129928992,3207374.923076923,3298.0575930169
461,0.28951318740064774,9.5,42.33333333333333,154.49306096648644,246.33333333333331,22.133333333333333,99.58828266666667,4019.0,14100.0,1556436.0555555555,309946.8888888889,18785.68055555555,80000.0,20000.0,452707.8422222222,689684.7344309741,53.74080022222222
180,0.3677083798565582,4.38,30.0,139.8,226.8,16.659999999999997,67.94000000000001,5969.472,9800.0,339964.53863424005,31799.04,8187.381599999999,12441600.0,1382400.0,64372.8984,39652.98858887243,135.888486
3567,0.6455865771715684,2.0742857142857143,20.857142857142854,146.66449846730296,189.0,16.742857142857144,48.74197233142856,5933.18,28600.0,281708.2149265306,42610.836734693876,306.1707145965123,987755.1020408163,3436734.6938775503,91177.67536734694,1418460.3256006164,1.803788482955102
986,0.16670637585446493,3.095,20.75,144.7653630448719,213.0,17.424999999999997,44.745000000000005,7637.6,9800.0,1538397.6300000001,13456.951875,17739.67651875,2707500.0,151875.0,202176.47999999998,5058306.75,674.7997648518749
350,0.3022496124401135,7.9624999999999995,36.0,162.66648110356,232.75,22.575,82.15446,9213.4,46600.0,2016093.1518749997,1091731.6875,21349.8288,7921875.0,3466875.0,438402.52687500004,129912.9101282219,53.4252
3563,0.2963852956512342,4.253333333333333,20.0,140.23587826210832,212.66666666666663,14.833333333333332,42.248333333333335,3500.2,3400.0,1722862.9688888888,45180.18,22697.281799999997,180000.0,35555.555555555555,594631.4755555555,4917247.999999999,1421.9057953799997
