2dm_id (unitless),bandgap (eV),ave:Polarizability,ave:atomic_number,ave:atomic_radius,ave:atomic_radius_rahm,ave:atomic_volume,ave:atomic_weight,ave:boiling_point,ave:bulk_modulus,sum:hhi_p,var:boiling_point,var:c6_gb,var:hhi_p,var:hhi_r,var:melting_point,var:sound_velocity,var:thermal_conductivity
3575,2.1967999999999996,2.6439999999999997,15.14285714285714,138.25795446366186,190.28571428571428,12.242857142857142,31.878285714285717,965.5119999999998,84.58916620029845,5900.0,1450502.0406240001,11853.507755102039,233877.5510204081,193877.55102040817,324089.1510204081,2734963.0664444147,32642.900102790958
3196,0.0,10.317499999999999,24.0,142.5,227.5,13.372499999999999,54.955011,1317.3375,36.9,8900.0,284970.82171875,230905.6875,211875.0,2970000.0,190346.06176875,1327968.75,1271.2235999999998
3284,0.0,6.093333333333334,52.66666666666666,145.33333333333331,230.33333333333331,11.2,126.40752299999998,2821.0,139.33333333333331,10600.0,48242.0,34768.22222222222,388888.8888888889,68888.88888888888,157604.10675555552,563488.8888888889,20144.22222222222
3465,1.3769000000000002,2.641,20.0,145.9391645039948,193.25,14.25,43.829049999999995,725.995,63.32802042526114,14800.0,1035037.1180250001,17672.281875,191875.0,142500.0,246471.13187499996,1010982.0625,34665.41440733548
5768,1.7018,3.4635714285714285,17.785714285714285,128.78571428571428,217.07142857142858,14.921428571428573,36.587234714285714,748.5297142857142,17.307142857142857,31000.0,35393.88503020408,2245.392857142857,312091.83673469385,2703520.4081632653,13605.188834693878,12163.544465720137,1757.0187580255101
5370,3.7203,5.5966465,10.5,122.0755326167781,177.75,17.175,23.6695,282.71125,58.13958508204469,37284.49708962107,379342.8268609375,3343747.20349375,2038639.9531234517,1843274.4106366374,103375.412025,257290.52734375,34.99303276384375
3481,0.8867999999999998,4.053800000000001,32.800000000000004,143.7929251859172,204.4,15.48,75.52765463200001,1120.54,66.12099606955698,18600.0,1259413.5456400001,28637.8096,2418400.0,2205600.0,289566.324064,1072584.2698951128,44341.404819326955
4452,1.2461000000000002,4.074181818181818,17.272727272727273,144.2373965901151,190.90909090909093,12.745454545454546,37.80381818181818,1397.8654545454544,118.07712061856165,11200.0,4560040.251788429,203658.22611570248,716033.0578512398,4569917.355371901,1594385.2641322315,6840249.173553718,3830.7989685612692
4214,0.7783000000000002,3.98,28.5,138.8384543482906,217.75,14.7,64.2345,1248.7,39.425,15000.0,930358.605,4169.701875000001,106875.0,5671875.0,194174.25999999995,1948923.0,29947.621457851877
4940,4.1711,1.6009112857142855,5.7142857142857135,116.94346584774641,173.42857142857142,13.471428571428572,11.143219785714285,438.7728571428571,67.8167201614514,54826.74563443161,883655.0289061224,31671.08439183673,1995937.5447760778,1955781.0834489958,99340.83810612245,2465080.1020408166,6756.292454745648
