,bandgap (eV),ave:Polarizability,ave:atomic_number,ave:atomic_radius,ave:atomic_radius_rahm,ave:atomic_volume,ave:atomic_weight,ave:boiling_point,ave:bulk_modulus,sum:hhi_p,var:boiling_point,var:c6_gb,var:hhi_p,var:hhi_r,var:melting_point,var:sound_velocity,var:thermal_conductivity,r1_1term,r1_2term,r1_3term,r1_4term,r2_1term,r2_2term,r2_3term,r2_4term
5843,0.09450000000000003,4.710000000000001,25.0,147.1403630448719,215.75,16.612499999999997,55.879375,1240.575,35.825,14800.0,3386099.7643750003,106192.05187499999,430000.0,277500.0,767716.3543749999,2867971.75,700.1875086018749,1.4243801096964512,1.3698920706026563,1.5022985874421728,1.4507285507960703,1.7440039724396232,1.873205759222346,1.8480410521740702,1.8512604204422092
3429,4.0217,1.8286520000000002,13.454545454545457,121.07324374960302,181.36363636363637,14.972727272727273,30.652320363636363,323.71636363636367,54.51115650062544,45684.49708962107,322295.81209586776,24119.745279338844,1714301.3607511504,3043318.2497136733,33410.901419834714,1710770.9290460856,100.49567517966281,3.0275718259792543,3.0662697986436083,3.281296325710707,3.2640320779761893,2.971361472246616,3.1716732046284664,3.087392916332413,2.972802162337764
3238,0.0,9.076666666666666,46.0,153.0,245.99999999999997,15.399999999999999,111.39166666666667,3120.333333333333,91.66666666666666,22000.0,3071004.222222222,98461.55555555555,575555.5555555555,2562222.222222222,529338.2422222222,109355.55555555556,4237.555555555556,-0.17427578121525844,-0.2817505507935092,-0.24837073013227506,-0.38329929351356196,0.266386504194154,0.28967201247732655,0.21776805751336203,0.11511420240590675
3757,1.4035999999999995,5.1875,32.25,150.66648110356,222.5,19.4325,72.927025,985.175,41.425,26000.0,1280304.676875,51090.75,7500.0,1470000.0,651537.901875,2260776.477956725,1652.5226999999998,1.7528484648811062,1.6810981266356109,1.797604868240696,1.7492071441308452,1.8745089674850854,1.9999617274117232,1.8759198240554382,1.8629082531421135
4089,4.0259,11.1782,29.200000000000003,165.0141685010688,195.60000000000002,25.1,69.932601896,645.806,37.7793636983576,52800.0,582408.6304240001,3308355.8175999997,3038400.0,3146400.0,47278.191695999994,574467.7000146629,571.2219201496001,2.292908392133123,2.112806529578673,2.2811025298821708,2.357412246262788,1.9438302656981206,2.087394388181339,2.8034666355464255,2.8297627700518913
5882,0.0,3.2039999999999997,10.052631578947368,141.97991916043725,187.78947368421052,14.227894736842106,20.569376210526315,391.98,63.38834373983103,41000.0,438576.1791684211,112298.32692520777,797451.5235457064,4027756.23268698,217879.2959606648,4390447.553781894,755.2883356432111,2.8406628187385627,3.232115363548155,3.3825168472150797,3.305340514532233,2.8627186114844188,3.0180792439759854,3.295243045931432,3.2671673300896154
5695,2.888,2.534923076923077,31.23076923076923,146.72384170614293,196.84615384615384,14.707692307692309,75.10065569230771,327.4038461538462,50.3647912272043,59000.0,66252.65570059171,13176.12177514793,4908284.023668639,3062248.5207100594,11371.550499408284,1682075.328216017,14.422628166915981,3.016836444821378,3.047521385038617,3.2699409058263167,3.0321671425766956,1.5375926227297403,1.6582430974836009,2.115026900255458,2.0024159461854745
3906,1.2463,5.746666666666666,47.666666666666664,139.0,232.33333333333331,13.95,114.71633333333332,2605.3999999999996,128.86666666666667,30800.0,5427194.58,41088.88888888889,268888.8888888889,1620000.0,1950970.8888888888,404999.99999999994,500.96675555555555,0.17812906029684417,0.06018452258727436,0.14463295659933895,0.08177283118155732,0.5274455683038455,0.5796516633107814,0.44253400727960357,0.22652978863167617
4715,0.0,5.816666666666666,30.33333333333333,131.66666666666666,223.33333333333331,13.556666666666665,68.893895,2048.216,86.79999999999998,16800.0,3571097.747327999,137933.88888888888,9569999.999999998,14052499.999999996,1202563.8888888888,174372.7977485597,3070.7160055555555,0.6164815945693736,0.472735557320652,0.541198850324891,0.511736170352993,0.7490167957520446,0.7914187101094303,0.5156560727149663,0.40407583209727327
3782,1.0822000000000003,4.109999999999999,36.666666666666664,133.66666666666666,221.0,14.233333333333333,86.666777,1450.2746666666665,79.56666666666666,7600.0,1332530.1562168887,15797.555555555555,295555.55555555556,3735555.555555555,216799.49608888885,1082577.9324773212,22724.206520222222,1.1870496750708845,1.0534324377704793,0.738986432881263,0.6662917225927951,1.0209095106225208,0.7099015549417331,0.5186338522087768,0.5498351418131613
