# c0 + a0 * (cbrt(var:c6_gb) / (ave:atomic_volume * ave:atomic_radius_rahm)) + a1 * (cbrt(var:c6_gb) / ave:atomic_volume) + a2 * ((var:melting_point * ave:atomic_radius_rahm) / (var:melting_point + var:boiling_point)) + a3 * ((ave:atomic_radius_rahm^2) * cbrt(ave:atomic_volume))
# Property Label: $Volume$; Unit of the Property: length^3
# RMSE: 9.27453133483869; Max AE: 22.3173272639586
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all ,  5.625990315322635e+03, -3.567568953522600e+01, -5.442067807826219e-01,  2.187059985842607e-03, -8.843615884778849e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; energy^0.333333 * length^-6;                      11|cbrt|3|2|mult|div; (cbrt(var:c6_gb) / (ave:atomic_volume * ave:atomic_radius_rahm)); $\left(\frac{ \left(\sqrt[3]{ var:c6_{gb} }\right) }{ \left(ave:atomic_{volume} ave:atomic_{radius, rahm}\right) } \right)$; (nthroot(var:c6_gb, 3) ./ (ave:atomic_volume .* ave:atomic_radius_rahm)); var:c6_gb,ave:atomic_volume,ave:atomic_radius_rahm
# 1;  2; energy^0.333333 * length^-5;                      11|cbrt|3|div; (cbrt(var:c6_gb) / ave:atomic_volume); $\left(\frac{ \left(\sqrt[3]{ var:c6_{gb} }\right) }{ ave:atomic_{volume} } \right)$; (nthroot(var:c6_gb, 3) ./ ave:atomic_volume); var:c6_gb,ave:atomic_volume
# 2;  2; length;                                           14|2|mult|14|10|add|div; ((var:melting_point * ave:atomic_radius_rahm) / (var:melting_point + var:boiling_point)); $\left(\frac{ \left(var:melting_{point} ave:atomic_{radius, rahm}\right) }{ \left(var:melting_{point} + var:boiling_{point}\right) } \right)$; ((var:melting_point .* ave:atomic_radius_rahm) ./ (var:melting_point + var:boiling_point)); var:melting_point,ave:atomic_radius_rahm,var:melting_point,var:boiling_point
# 3;  2; length^3;                                         2|sq|3|cbrt|mult; ((ave:atomic_radius_rahm^2) * cbrt(ave:atomic_volume)); $\left(\left(ave:atomic_{radius, rahm}^2\right) \left(\sqrt[3]{ ave:atomic_{volume} }\right)\right)$; ((ave:atomic_radius_rahm).^2 .* nthroot(ave:atomic_volume, 3)); ave:atomic_radius_rahm,ave:atomic_volume
# Number of Samples Per Task
# Task, n_mats_train            
# all , 116                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
37          ,  6.740982957627959e+01,  5.360591757999291e+01,  4.379527073625997e-02,  9.197006854614592e+00,  5.399205444872084e+01,  1.157456642182935e+05
29          ,  7.604393505755419e+01,  6.176437319288291e+01,  3.288914752889949e-02,  6.347605473077602e+00,  5.956058408198002e+01,  1.024365970245469e+05
107         ,  5.684900711217347e+01,  6.327815890554146e+01,  2.551568626340601e-02,  4.995971370374897e+00,  3.610372289070178e+01,  9.421137491672543e+04
134         ,  2.189143114936079e+02,  2.156833855231787e+02,  2.272837661796676e-02,  5.386625258458121e+00,  6.026993706423013e+01,  1.834521224948282e+05
1           ,  6.589429488532184e+01,  6.874983242426677e+01,  3.531392438620264e-02,  7.585430958156328e+00,  5.374069881866240e+01,  1.181365526811970e+05
52          ,  1.685536482338435e+02,  1.506911706394071e+02,  3.073648932737111e-02,  6.768174949887118e+00,  2.595567649661881e+01,  1.471330021439442e+05
130         ,  7.583037174302696e+01,  7.851041568158350e+01,  3.267073627262704e-02,  6.409998456689426e+00,  5.141943330052715e+01,  1.096473116172893e+05
103         ,  5.981199781507478e+01,  5.801087248024017e+01,  2.432550386421735e-02,  4.821314865887879e+00,  5.605365656607627e+01,  9.697973345197825e+04
99          ,  1.103591846419842e+02,  1.084165673653909e+02,  3.498000305096533e-02,  6.856080597989204e+00,  1.757237882153124e+01,  1.162354850875565e+05
116         ,  6.928383831454539e+01,  8.360897916740069e+01,  1.324128396042155e-02,  2.571457345113865e+00,  3.802990046979526e+01,  9.601220252586241e+04
87          ,  1.073098314779565e+02,  1.069402136741019e+02,  3.453991915017228e-02,  6.907983830034455e+00,  3.065581344037926e+01,  1.207947251472135e+05
121         ,  7.759315330331438e+01,  6.928495834588375e+01,  1.442459377559975e-02,  2.807025948731711e+00,  5.209530751252715e+01,  9.376135062442279e+04
143         ,  7.259770851342745e+01,  8.104513287893663e+01,  1.159484015831976e-02,  2.209976534175747e+00,  2.789132351306846e+01,  9.065591189357307e+04
20          ,  1.126975075036733e+02,  1.169584838452360e+02,  3.036833435150856e-02,  6.176919207096842e+00,  5.389518772759187e+01,  1.299638181432497e+05
71          ,  2.033361364024827e+02,  2.103250393350469e+02,  2.575162185100344e-02,  5.943474323211595e+00,  2.695825667173990e+00,  1.679823401035178e+05
106         ,  2.038799354056747e+02,  2.037753735080492e+02,  2.584228175943113e-02,  5.933387891965388e+00,  1.060359566104945e+01,  1.665575525109996e+05
14          ,  1.651217664757107e+02,  1.870994158236986e+02,  2.539216564577831e-02,  5.936688327982970e+00,  5.784677557133269e+01,  1.718999736019020e+05
92          ,  7.315017953780705e+01,  8.474733505847175e+01,  3.222790885636478e-02,  6.516483170756959e+00,  3.508419605365627e+01,  1.113104716950036e+05
102         ,  8.368680399312422e+01,  7.271154794657380e+01,  3.278677535030201e-02,  6.216372606417261e+00,  3.628454823668383e+01,  9.977289326552162e+04
