material_id,formula,bandgap (eV)
4031,H3O9P3Sb2,3.7504
4290,NbS3,0.40680000000000005
4717,Cr3Te4,0.0
4492,Bi2Se2Te,1.1357000000000002
3091,N2O6Pt,0.0
3457,C2O4Pb,2.9427
4753,AgBiCl2S,0.7596999999999996
3393,P,0.8523999999999998
3361,AuN2,0.0
3229,SSi,0.5016000000000003
5651,CuI2O6,0.5059999999999998
3602,O3Pb2,1.8733
3187,IY,0.0
5049,NbO5P,3.3009999999999997
3407,BrCrS,0.2927999999999997
5766,O3STl2,2.9669999999999996
2999,Ca2CoO3,1.1445
3723,Cl2Mg,6.0688
4238,H4BaO4P2,5.243
3415,PdSe2,1.4254000000000002
3990,Fe2Ga2S5,0.0
3627,CuI,2.0728
5456,CuHgO2,0.0
5207,AgClO2,0.0
3922,AuNaO8S2,1.8368000000000002
4304,BiCaClO2,3.1975
3738,S2W,1.8023999999999998
4262,H2CdO2,2.2721
5623,LiO12P4Sb,3.708
3227,PS3V,0.0
3798,HfS3,1.1468
4960,HCuO2,0.0
4293,BrCdS2Sb,1.1367000000000003
5627,CaS3Sn,1.7649999999999997
4279,CAgNO,3.2024
3867,H2I3KO,1.9436000000000002
3283,Nb2PdS6,0.0
5770,STl2,1.4621
4222,F7Fe3O,2.7605000000000004
4509,Hg2O4Si,2.5986
4777,P2Pd3S8,1.7793
4390,C4BNaO8,2.9269
5266,B2BiLiO5,2.9602999999999997
5901,LiO12P4Sb,2.8648000000000007
2996,NiSbSi,0.0
4358,CrP2S7,0.03600000000000003
4157,CdClS2Sb,1.2569
5125,INbO2,0.9231
3581,HCaI,3.8095
4706,CaI2,3.8625000000000003
3533,ClSc,0.0
4798,AgClO2,1.2302
5097,O7Ti2,1.1968999999999994
5017,O8P2Pb3,3.4609
3421,Cl2Ni,0.8106
5157,C2KN3,4.2912
3601,HGaO2,2.8514999999999997
4977,NiTaTe5,0.0
4476,Cl3Ru,0.0030999999999998806
3225,O2Zn,0.2281000000000004
3835,BrNZr,1.736
5439,As2O5Pb2,3.0113
4661,Cl2Mg,5.4756
5134,O4WZn,2.3712
5729,O4PbSe,3.4876
3709,BrInTe,2.1671
3853,Cu2Fe4S7,0.0
4891,H2NiO2,2.9434000000000005
3365,BiFS2Sr,0.8793
4734,C3N4,1.1724999999999999
3367,AgF6Ti,0.20859999999999967
5375,H2O8Pb4S,2.8777000000000004
5429,HgO4Re,3.0104
3342,Al2S4Zn,0.0
3119,B2O9S2,7.0669
3232,Cl2Pd,0.9213999999999998
4451,CaS3Sn,0.10299999999999998
4167,O2Pt,1.7371000000000003
5109,BaCu,0.0
5642,HAuO2,0.5254999999999996
4442,Bi2Se3,0.8890999999999998
3209,CdCl4,0.28470000000000084
4987,FO6STc,2.8268999999999997
3658,OPb,2.6469
5128,HO2Sc,4.1941
3810,PS3Zn,2.1485
5165,Bi2SnTe4,0.7931
3801,CuGe4Zr2,0.0
4708,ClOY,4.9464
3568,CaMgO6Si2,3.9166000000000003
3623,CN2Pb,2.0599
2981,GaN,2.1592
3586,Cl3NY2,2.1569000000000003
5702,AgBi2F12,0.36379999999999946
3761,FTl,3.5771
5376,IOSc,2.0127
3084,Ge,0.08620000000000028
4082,O14P4Sn3,2.9313000000000002
5459,I7SeTa3,0.6888000000000001
4786,AuFO2,1.3326000000000002
4641,I2Zr,0.43230000000000013
3275,Ga2S4Zn,0.0
3725,HClSc,0.0
3197,Al2S4Zn,1.6313
4597,ClNZr,2.7286
3846,AgF12Sb2,0.45419999999999927
4243,I3O9Tl,2.5196
3140,Al2FeS4,0.0
5779,H4AlO8Se2,0.0
3287,BCaO3,0.5146999999999995
4663,AsBrHg3Se4,1.831
4399,NiPS3,0.04730000000000034
3666,H3CaO4P,4.6119
3410,O4SiZn2,2.8388999999999998
3101,ClNa2,0.0
4436,AgClO2,0.013100000000000112
3204,INa,3.8631
3489,Cl6NaNb,2.1948999999999996
4697,AgP2Se6V,0.09560000000000013
3529,I2Mg,3.6569
5819,Bi2Pt,0.0
4996,CuSe,0.0
3796,H5As3O10,3.4169
4679,BiBrMnS2,0.0
4497,AlSiTe3,1.3272999999999997
3591,AgInP2S6,1.3938000000000001
3790,SeTa2,0.0
5645,O5V2,2.3522
3550,OPb,2.6193999999999997
3677,NbO2,0.0
3265,HfTe3,0.0
3029,Bi2Mg,0.0
3824,H2O2Zn,2.3383000000000003
3305,Fe2Ga2S5,0.0
4582,AgI2,0.0
5556,AgBiP2Se6,1.4659
5555,Ni2TaTe2,0.0
3271,MgSn,0.0
4810,As2S3,2.1307
4118,F2OTi,3.8321
3276,PtSe2,1.3516
3826,Br4InNa,3.1802000000000006
5238,IrNbTe4,0.028699999999999948
4790,SeSn,1.588
3785,B2S3,1.8595000000000002
3110,MgSb2,0.0
5313,I4InLiO12,3.1383
3979,CrO10TiV2,1.4588999999999999
4323,AgCuO2,0.0
4127,CrTe3,0.27949999999999986
4516,FeS2Tl,0.0
3384,Mg6NaO7Rb,0.0
4281,H2O4Te,2.0251
3345,Sb,1.2203000000000002
3260,BrHgS,0.0
3207,MgTi,0.0
4979,GaI7Te,1.9303000000000003
4894,H3AlO3,4.4536999999999995
5265,CdGaInS4,0.0
3292,CuSr,0.0
3052,Br2MgO6,4.2246
4213,SeV,0.0
3172,S2Ti,0.0
3043,Cl2NbO,0.8247000000000004
3947,Cu2F5Li,0.5163000000000002
4634,Bi10Ca2O17,1.9842999999999997
5350,I3NbTe,0.5800999999999998
5760,O6Pb3S,2.773
3774,Cl7Nb3Te,0.7475999999999998
3752,ClNZr,3.1781999999999995
3023,HfNO3Ta,2.1169
4664,AsBrCdHg,1.3832
5619,MoTe2,0.0
3100,PS3Sn,1.347
4624,AgClO2,0.18619999999999948
5526,FeLiP,0.0
3594,As2GeTe4,0.6517999999999999
3802,C6FeN6Sn2,3.6406000000000005
4541,AgGaP2Se6,0.9722
5479,As2Si,1.3449000000000002
3619,Ca2Cl2CuO2,0.0
4285,IrNb3Se8,0.0
4250,B2BaSe6,2.1729000000000003
5507,Br3CaIn,2.8152
3730,Br2Ni,0.5054000000000003
3432,NbPdTe5,0.0
3113,CoO6V2,1.5327000000000002
3380,HfSe3,0.36029999999999984
3718,Ca2N,0.0
3638,H4CaO6Se,3.944
4921,CaF6Sn2,3.9867
3279,F4Nb,0.0
3015,Ga2S6Zn3,0.0
5896,CuO3Se,0.0
4801,H2BLiO4,3.5957999999999997
3558,AlI2Pd5,0.0
4739,AgNO3,2.3217
4610,PPdSe,1.0372
3997,H2O7Ti3,2.9322
3090,BPt2,0.0
5333,H2CdO4Se,4.2024
3445,SY,0.0
5229,AsO4P,4.162100000000001
4590,CdTi,0.0
5025,F2LiO2V,2.3533000000000004
5683,TaTe2,0.0
3453,I2Pb,2.5868
5123,FSbSe2Sr,0.05819999999999992
4215,GeS3Tl2,2.2527
3596,Cl2Ti,0.0
5621,AlI4In,2.8517
3040,LiMg2,0.0
4287,O5V2,1.7748
5502,CHKO3,4.4708
4144,GaGeTe,0.7689
4851,Br2Ca2CuO2,0.0
5533,NaOSn,0.0
3896,H3F4NZr,5.0409999999999995
5918,Cu3F5O,0.0
4203,BaFSbSe2,1.3235000000000001
4291,H9ClO5Sr,4.7732
3303,CoGe2Y,0.0
4702,Cl2Zn,4.3187
3733,CI5Y4,0.0
4584,CoPS3,0.0
3633,FISr,4.6395
4175,FLi2O2V,0.6012
4340,Ta2Te3,0.0
5841,CaO3Te,3.3697
4275,BrHfN,3.135
3674,GeNb2Te4,0.4303999999999999
3607,Br3Rh,1.4985
3663,Cl2ORu,0.0
3112,Mg5Ti,0.0
5665,Cu2O4W,1.6562999999999999
5145,BrCuTe2,0.8130000000000002
3797,H4CaO4P2,5.5087
4482,H2Ca3O6,1.7766
3313,C2CaN2S2,3.8827999999999996
5121,ClFSn,2.5689
4041,F5O5Ta3,2.2029000000000005
3182,LiMg6O7Rb,0.0
3672,Ca3Cl2Cu2O4,0.0
4012,AuSe,0.0
4704,Se2Sn,0.7975000000000003
4019,H4CaO6P,0.13870000000000005
5747,AgCrP2S6,0.9680999999999997
3139,MoS2,1.6533000000000002
4534,Br7FeTe,1.0430000000000001
5091,H2ILiO,3.1079
5746,BiKP2S6,1.7368000000000001
4326,CaCl3Tl,3.5637
3794,Br3Ti,0.0
5163,Br2O2W,0.8546999999999993
5757,HLiO4S,5.3467
5312,ClOSc,4.0804
5178,Pt2Se3Tl,1.4110000000000003
3001,BiS,0.0
3639,HLiO,3.9169
3461,Au2CaF12,1.6539000000000001
3914,AgBrHgS,1.2353
3054,O3SnZn,2.2972
4514,Mo2O8Zr,3.2029
3268,NSr2,0.0
3670,AlCl3,5.524
3961,Br4NbOTl,1.2074000000000003
4500,Se3Ta,0.0
3436,As,0.6292
5607,BrCuHgSe,0.9406000000000001
3685,Br2Cd,3.2859999999999996
4208,Hg3O6S,0.9359000000000002
5271,AgAu2S2,0.0
5364,GeTeZr,0.0
