,Volume,ave:atomic_number,ave:atomic_radius,ave:atomic_radius_rahm,ave:atomic_volume,ave:atomic_weight,ave:boiling_point,ave:bulk_modulus,sum:hhi_p,sum:hhi_r,sum:sound_velocity,var:boiling_point,var:c6_gb,var:hhi_p,var:hhi_r,var:melting_point,var:sound_velocity,r1_1term,r1_2term,r1_3term,r1_4term,r2_1term,r2_2term,r2_3term,r2_4term
84,187.4396857101914,37.6,176.81229043589752,223.2,28.88,89.29109039999999,736.08,10.180000000000001,26400.0,21600.0,8110.555937922587,483886.5216000001,6692619.602400002,3038400.0,3782400.0,27614.887600000002,633278.2946031297,151.42951502057437,168.77187137908933,177.19675582473906,177.07920410297385,162.0658878338675,178.7446653412527,181.67447707586098,170.97178683395347
28,93.62157646373184,18.599999999999998,171.81416850106882,192.60000000000002,29.0,42.578086152,472.54600000000005,29.659363698357602,23200.0,22000.0,27716.051237829786,229458.25194400002,6634661.929599999,3409600.0,3760000.0,19668.49596,109184.95545768301,71.4047148116511,101.95981769767135,100.61724153761712,94.30165341458297,82.78229212378608,108.43931328790232,115.49586757969784,110.65154190981835
40,187.65813437794742,38.2,177.333184882848,228.60000000000002,28.42,87.99956,861.94,17.47858576810716,38400.0,57400.0,19835.67534649392,615180.0024000001,3071331.3599999994,1166400.0,3618400.0,4010.658144000001,352171.8765812309,172.44935689621144,197.60289331866193,198.45153918622427,204.88224801875995,176.52079611276906,196.56470495117014,203.04599868137151,202.94619686507997
86,65.40869502383295,23.200000000000003,164.520852186845,201.0,19.64,53.608636000000004,1403.1140000000003,86.28362451031336,5500.0,13500.0,6352.5,4748834.244664,2275365.9976,576000.0,7836000.0,1593184.5504000003,1558313.5,87.82994469556678,49.45711313136657,55.773324723081856,60.400353236150806,75.42261970524243,63.81812771334302,97.88223803150463,71.01104688933674
24,98.09953691058023,22.8,167.46877047679092,198.2,24.72,52.073854,337.814,47.70362451031336,37200.0,36900.0,16625.144809483256,117327.69306399999,3333518.7016000003,6001600.0,5906400.0,21391.494400000003,1333846.5521969828,81.96208531562415,110.52166451115686,110.5264665826573,107.46901789677004,106.66512376255533,110.45902944101344,117.10177141187836,101.15070092938191
25,139.757090909741,30.599999999999998,170.6122904358975,218.4,27.279999999999998,69.4247304,830.48,20.98,11700.0,10400.0,5395.2779689612935,760614.4576,6772927.6744,3362400.0,3865600.0,172436.98239999998,1161208.4963304792,134.7625947460324,135.4629497859762,141.81209088071526,138.6528616896535,138.2108679409987,146.40871524210684,161.5690017712247,134.86468310852834
23,177.6115625775598,31.2,174.2122904358975,223.0,28.48,71.5930904,842.08,12.580000000000002,26200.0,21200.0,10590.555937922587,799537.5616,6628135.8184,3037600.0,3817600.0,16964.502400000005,1101970.7200821694,150.69841650026316,171.50549793429914,172.5148741199042,179.944989871432,154.61808739682473,180.04314211742494,179.2159872848237,172.2743392907001
115,134.84725792156624,27.0,166.81229043589752,216.6,24.46,59.937200000000004,832.36,21.16,11700.0,10400.0,4518.0,761084.0064,3251695.6744000004,3362400.0,3865600.0,171992.54559999998,898968.64,128.96775586642977,130.48654718986754,131.79405751279987,133.7488195004878,131.90902145632896,135.71943557539976,154.08184723173835,128.92420803742766
67,117.84079756393193,23.4,163.6122904358975,215.0,23.82,51.07276,903.36,29.16,12100.0,10500.0,5488.0,1015922.8864,3274742.0824000007,3205600.0,3840000.0,214319.25759999995,1707715.84,124.01502366608426,123.05933105687086,122.12466648470935,125.15278753253078,123.46742725959892,130.32467789766957,146.7410124571642,122.78648034043124
44,140.87164651875094,34.2,169.73318488284798,222.8,26.7,77.74516,959.34,29.64,17500.0,28200.0,12272.83767324696,943585.5304,3174631.6,1996000.0,4406400.0,186643.276,515545.2589415035,149.9705891081454,147.5107036541346,153.22523234499621,149.4976384669582,147.72552521268298,155.73096011482784,180.4744980160243,158.64487746606252
