ID,exfoliation_energy (J/m^2),min:bulk_modulus (GPa),min:thermal_conductivity (W / m / K),min:evaporation_heat (KJ / mol),max:num_p_valence,ave:num_p_valence,min:boiling_point (K),ave:thermal_conductivity (W / m / K),var:heat_capacity_molar (J / mol / K),ave:hhi_r,var:num_p_valence,ave:electron_affinity (eV),max:electron_affinity (eV),min:melting_point (K),min:heat_of_formation (KJ / mol),max:heat_capacity_molar (J / mol / K),ave:icsd_volume (cm^3 / mol),ave:mendeleev_number,min:vdw_radius_uff (pm),max:thermal_conductivity (W / m / K),var:electron_affinity (eV),max:mendeleev_number,ave:vdw_radius_uff (pm),sum:thermal_conductivity (W / m / K),ave:heat_capacity_molar (J / mol / K),ave:bulk_modulus (GPa),min:num_valance,perimeter_area_ratio (AA^-1),max:icsd_volume (cm^3 / mol),ave:atomic_volume (cm^3 / mol),ave:evaporation_heat (KJ / mol)
4244,0.5059743634318413,65.0,3.0,49.8,4.0,2.6666666666666665,1263.0,26.0,0.0037555555555554977,6300.0,3.5555555555555554,2.0232506666666668,2.128,722.7,196.6,25.86,27.659999999999997,84.0,275.4,72.0,0.005486211416888892,92.0,389.79999999999995,78.0,25.773333333333333,119.99999999999999,16.0,1.1554654905563992,33.94,16.7,189.86666666666665
871,0.21109551386730857,1.1,0.0089,20.41,5.0,4.25,238.6,35.006675,121.27249199999999,875.0,1.6875,3.0250735,3.612725,172.2,121.302,33.949,23.205000000000002,98.0,385.1,140.0,1.0360028563567503,99.0,392.29999999999995,280.0534,27.590999999999998,9.075,4.0,0.6184405766160815,29.05,15.349999999999998,180.12801879038656
5321,0.6704216449022358,25.0,0.02658,15.579091192355275,4.0,2.8,90.19,17.245948,5.38966929,1380.0,2.56,1.2371844062931305,2.2256767429313045,54.8,61.38,29.378,20.063,90.1,270.5,94.0,0.3154587735983515,101.0,353.22,344.91896,27.7001,73.36362451031337,6.0,0.6233930343845777,30.32,14.263000000000002,84.95745471541318
4938,1.6705989141843003,11.0,0.02658,15.579091192355275,4.0,3.4545454545454546,90.19,8.607694545454546,6.4850766942148725,1663.6363636363635,1.3388429752066116,1.2589201818181817,1.4611135,54.8,249.229,29.378,17.17,95.0,302.3,94.0,0.10941282162505785,101.0,357.42727272727274,94.68463999999999,27.82018181818182,71.89530243674348,5.0,0.9036499647960875,18.99,13.93,51.47570268534929
3781,0.4711824448616081,7.7,0.205,10.5,4.0,2.333333333333333,553.0,24.147,1.8522346666666674,4699.999999999999,2.888888888888889,1.1285703433333334,2.07710403,317.3,277.17,25.98,19.82333333333333,84.33333333333333,289.9,72.0,0.45553803477889576,94.0,369.3666666666667,289.764,24.168,66.23333333333333,5.0,0.6977988751156906,25.76,13.799999999999999,144.23333333333332
1786,1.213774823833361,11.0,0.236,49.8,3.0,2.5,553.0,58.927,0.02650799999999967,4075.0,0.75,0.66816275,0.746607,317.3,316.5,24.2,18.395,87.5,414.7,235.0,0.018460501074187504,90.0,423.5,471.416,23.918000000000003,27.25,3.0,0.6385634287897366,18.99,15.25,108.375
4789,0.4106185333397408,22.0,0.02658,15.579091192355275,4.0,3.142857142857143,90.19,31.443759999999997,4.9863413877551,1700.0,1.8367346938775508,1.396061799617176,2.319978597320232,54.8,130.4,29.378,18.238571428571426,94.0,276.3,120.0,0.224517641871502,101.0,360.3285714285714,440.21264,27.454571428571427,59.77488048601273,6.0,0.832763493484606,21.52,13.057142857142857,34.55948068134587
4841,0.3269290917802628,11.0,0.02658,0.904,4.0,2.0,20.28,11.027301818181819,4.6979971570247905,2529.6550759180514,3.454545454545455,1.1522205997563848,2.319978597320232,14.01,130.4,29.378,22.79,97.45454545454545,276.3,120.0,0.24618730300166897,103.0,332.73636363636365,242.60064,27.808545454545456,56.69297468244362,1.0,0.6809796038388487,32.02,14.145454545454545,25.484760433583737
4082,0.19941446821287942,11.0,0.02658,15.579091192355275,4.0,3.5238095238095237,90.19,9.634100952380953,4.732917950113376,1533.3333333333333,0.5351473922902494,1.275153238095238,1.4611135,54.8,249.229,29.378,19.054761904761904,96.33333333333333,350.0,67.0,0.08006537773782425,101.0,375.0666666666666,202.31611999999998,27.97895238095238,61.118312947967226,5.0,0.6955939757953739,27.05,14.899999999999999,62.157489366332086
4615,0.013792909637928646,7.7,0.205,10.5,4.0,2.2222222222222223,717.824,35.669444444444444,1.4222222222222247,1177.7777777777778,3.950617283950617,1.2210577944444445,2.07710403,386.0,277.17,25.1,19.546666666666667,79.33333333333333,291.2,80.0,0.9160189467610471,94.0,353.5888888888889,642.05,23.766666666666666,79.83333333333333,6.0,0.5098759623296697,25.76,11.766666666666666,156.94444444444446
