ID,max:mendeleev_number,ave:melting_point,var:covalent_radius_pyykko_double,ave:evaporation_heat,var:num_d_unfilled,ave:num_s_unfilled,ave:c6_gb,ave:heat_capacity_molar,ave:atomic_radius,min:boiling_point,sum:electron_affinity,ave:Polarizability,ave:molar_volume,var:c6_gb,sum:melting_point,min:vdw_radius_uff,sum:gs_mag_moment,ave:gs_est_bcc_latcnt,ave:icsd_volume,var:covalent_radius_cordero,aflow_proto
3768,101.0,468.88,779.76,22.307454715413165,0.0,0.0,114.02,27.4828,143.32085218684497,90.19,11.982681,2.2052,15.595999999999998,14206.7736,4688.8,350.0,0.0,2.9944100306,19.024,674.16,mP10_2a_3a_7
3770,93.0,396.46500000000003,25.0,165.0,0.0,0.0,344.5,25.6965,140.5,958.1,4.90134,5.944999999999999,14.110000000000001,12432.25,1585.8600000000001,420.5,0.0,3.5411141875,24.705,1.0,hP4_187_g_h
3772,101.0,263.52,1734.0,74.30745471541317,0.0,0.0,213.62000000000003,28.1548,156.12085218684498,90.19,5.1373405000000005,3.5212,17.304,58166.22960000001,1317.6,350.0,0.0,3.0887597674,21.828,1497.8400000000001,hP5_164_ad_d
3773,101.0,763.6,768.0,159.18431839426646,4.6875,0.25,270.025,28.0485,144.4010652335562,90.19,5.1313405,3.8015000000000003,15.365,192520.666875,3054.4,305.2,0.0,2.7617114172500004,16.9175,1452.0,mP4_2ab_6_a
3774,99.0,922.8272727272728,219.42148760330576,202.97,7.1404958677685935,0.2727272727272727,415.5181818181818,30.65209090909091,148.1342474320125,238.6,30.012169,6.169090909090909,15.879999999999999,207948.2651239669,10151.1,316.5,0.0,3.605903207090909,26.521818181818183,758.8760330578511,hP11_156_a2d_b_d
3775,99.0,821.3199999999999,294.0,159.04600000000002,19.44,0.0,1098.26,30.9814,159.6122904358975,238.6,22.90435,10.388,18.386,1503482.0184,8213.2,334.5,0.0,3.8015690936,30.618000000000002,1858.56,mC20_12_2i_3i
3778,103.0,178.74375,780.0553007082638,29.82804559617764,0.0,0.25,73.60249999999999,28.242125,127.60071015570415,20.28,23.386985194640463,1.75769825,14.7325,11040.83701875,2859.9,276.3,0.0,2.7520236846249997,22.310000000000002,1037.75,mP16_2a_4a_7_a_a
3779,101.0,431.65999999999997,1097.44,54.86745471541316,0.0,0.0,162.82000000000002,27.6008,147.32085218684497,90.19,12.466681000000001,2.6632,16.644,37980.181599999996,4316.6,350.0,0.0,3.0827895496,20.762,992.5600000000001,mP10_3a_7_a_a
3780,101.0,763.6,768.0,159.18431839426646,4.6875,0.25,270.025,28.0485,144.4010652335562,90.19,10.262681,3.8015000000000003,15.365,192520.666875,6108.8,305.2,0.0,2.7617114172500004,16.9175,1452.0,mP8_11_3e_e
3781,94.0,842.7666666666665,90.88888888888889,144.23333333333332,0.0,0.0,318.3333333333333,24.168,130.66666666666666,553.0,13.542844120000002,3.7766666666666664,13.703333333333333,48314.88888888889,10113.2,289.9,0.0,3.449607434,19.82333333333333,242.66666666666663,mP12_13_g_g_g
3782,94.0,680.2933333333333,128.22222222222223,133.43333333333334,0.0,0.3333333333333333,251.3333333333333,23.980666666666668,133.66666666666666,553.0,10.26468206,4.109999999999999,14.253333333333332,15797.555555555555,4081.7599999999998,329.3,0.0,3.5011057476666667,20.57,200.66666666666663,mP6_7_a_a_a
3783,97.0,810.9,25.0,148.025,0.0,0.5,365.0,39.89,147.36979572486484,457.5,8.7220736,6.0649999999999995,17.994999999999997,576.0,3243.6,314.8,0.0,3.8054993325,29.78,9.0,hP4_164_d_d
3784,101.0,335.74285714285713,1978.7755102040815,78.61662353848872,0.0,0.0,617.5428571428571,27.906,162.82938303509044,90.19,15.554356,6.515428571428571,20.857142857142854,1184405.613877551,4700.4,350.0,0.0,3.3387036854285714,28.04,2546.408163265306,mP14_11_2e_4e_e
