ID,max:mendeleev_number,ave:melting_point,var:covalent_radius_pyykko_double,ave:evaporation_heat,var:num_d_unfilled,ave:num_s_unfilled,ave:c6_gb,ave:heat_capacity_molar,ave:atomic_radius,min:boiling_point,sum:electron_affinity,ave:Polarizability,ave:molar_volume,var:c6_gb,sum:melting_point,min:vdw_radius_uff,sum:gs_mag_moment,ave:gs_est_bcc_latcnt,ave:icsd_volume,var:covalent_radius_cordero,aflow_proto,exfoliation_energy_per_atom (eV/atom)
4313,94.0,846.6666666666665,18.0,136.7,2.0,0.0,247.0,23.403333333333332,126.33333333333331,717.824,4.81646452,4.433333333333334,12.576666666666664,22898.0,2540.0,287.2,1.5484712,3.393658619333333,20.88,241.99999999999997,hP3_164_a_d,0.12544761333333287
4314,102.0,638.7766666666666,578.6666666666666,120.70636373078509,3.555555555555556,0.0,191.63333333333333,28.593999999999998,135.40834482661876,85.01,10.026606400000002,3.2529999999999997,11.883333333333331,63505.64222222222,3832.66,291.2,4.2213256,2.699168965,15.186666666666667,1453.5555555555554,oP6_59_a_a_b,0.05145602500000024
4327,101.0,654.8000000000001,992.2840236686391,140.23328688760324,1.9171597633136095,0.0,578.276923076923,27.871846153846157,145.50856634548205,90.19,14.48255384,5.855076923076924,15.670769230769231,2092050.8094674558,8512.4,287.2,6.1938848,2.847821276846154,18.941538461538464,2172.8520710059174,hP13_162_a_ck_h,0.03236565923076906
4331,102.0,745.6866666666667,600.8888888888889,118.36,5.555555555555555,0.3333333333333333,243.13333333333333,28.65266666666666,132.682409445632,85.01,14.936758800000003,4.2379999999999995,9.876666666666665,108515.87555555554,4474.12,302.3,0.0,2.7311532456666665,14.95,1494.2222222222222,mP6_14_a_e,0.15218911500000054
4337,87.0,971.3333333333333,128.0,238.79999999999998,0.0,0.0,551.3333333333333,25.673333333333332,159.0,1883.0,4.893448,6.533333333333333,17.06,2938.8888888888887,5828.0,289.9,0.0,3.7147810096666665,28.493333333333332,18.0,mP6_11_2e_e,0.22364517500000014
4348,102.0,162.954,924.1600000000001,40.792,0.0,0.0,114.96000000000001,29.9832,142.2188913347584,85.01,13.961501960000003,1.8416000000000001,12.612,43898.630399999995,814.77,336.4,0.0,2.9163249586,19.200000000000003,1267.3600000000001,tP5_123_b_eg,0.09587569599999979
4360,97.0,1114.8,54.96,229.18000000000004,19.440000000000005,0.0,1268.6,37.028400000000005,158.89583657989186,457.5,7.9647856,12.388,20.966,1181827.44,5574.0,334.5,0.0,4.0885291118,34.638000000000005,837.0400000000001,hP5_164_a_d_d,0.045589493999999675
4362,101.0,766.1846153846155,1123.3136094674558,125.74097919529557,5.325443786982249,0.3076923076923077,654.5846153846154,27.422615384615387,147.04702788394357,90.19,14.497527999999999,7.116615384615385,15.843076923076923,2087253.9905325447,9960.4,302.3,0.0,2.8729515940769232,19.215384615384615,2196.6863905325445,hP13_162_a_ck_h,0.026635518461538332
4374,93.0,660.86,3.84,89.98,4.0,0.0,304.2,25.2466,136.6,553.0,18.757295639513323,4.868,14.725999999999999,27674.56,6608.6,296.1,0.000620242,3.5008928288,24.124,202.24,hP10_162_d_e_k,0.07307752299999937
4386,101.0,588.4222222222222,611.5555555555555,106.45272746157018,8.666666666666666,0.0,285.5777777777778,28.218666666666664,143.8009468742722,90.19,13.985742639513322,4.245777777777778,14.388888888888888,168236.81506172838,5295.8,296.1,0.000642742,2.724537201888889,16.247777777777777,1702.320987654321,mC18_12_3i_a_i,0.05919818777777852
4391,97.0,455.83333333333326,49.99999999999999,47.66666666666667,0.0,0.0,394.3333333333333,44.959999999999994,151.82639429981975,457.5,8.6685061553199,6.02,21.479999999999997,56.888888888888886,1367.5,284.8,0.0,4.073319296333333,35.53666666666666,5.555555555555555,hP3_164_a_d,0.08304719256410253
4395,92.0,651.4200000000001,40.56,98.67999999999999,0.0,0.0,487.79999999999995,25.646,164.0,1263.0,7.797352,6.26,20.799999999999997,423.36,3257.1000000000004,437.0,0.0,4.0828642058,34.516,24.0,hP5_164_ad_d,0.07791406399999978
4399,94.0,640.2600000000001,13.599999999999998,91.98,0.6400000000000001,0.0,200.0,23.598799999999997,126.60000000000001,553.0,16.267838180000002,3.8260000000000005,14.04,9643.6,6402.6,283.4,1.1907893999999999,3.4941024481999996,21.426000000000002,55.36000000000001,hP10_162_d_e_k,0.061912153000000636
4401,98.0,1195.45,81.0,298.28,16.0,0.0,773.5,50.525,158.77765406903998,331.9,7.5791764000000015,10.475,16.9,343982.25,4781.8,312.4,0.0,3.7426309184999997,44.215,756.25,hP4_164_c_d,0.05514252999999947
4408,101.0,610.311111111111,558.2222222222222,97.49717190601463,5.555555555555555,0.1111111111111111,231.0222222222222,28.028666666666666,141.91205798538329,90.19,14.572742639513324,3.9124444444444446,14.009999999999998,92273.65950617284,5492.8,296.1,0.000620242,2.6799017750000003,15.618888888888888,1443.0617283950617,mC18_12_3i_a_i,0.04553960444444449
4413,93.0,1161.0,98.0,231.46666666666664,14.222222222222223,0.0,501.99999999999994,25.485333333333337,149.0,958.1,4.05534,7.913333333333332,15.426666666666666,144721.99999999997,3483.0,314.1,0.0,3.6661240396666663,27.346666666666664,672.2222222222222,hP3_164_a_d,0.09108574333333408
4414,92.0,1316.1333333333332,0.0,224.86666666666665,14.222222222222223,0.0,660.6666666666666,25.729999999999997,162.33333333333331,1263.0,3.955752,9.066666666666666,18.12,71946.88888888888,3948.4,314.1,0.0,3.9216547263333332,30.099999999999998,304.2222222222222,hP3_164_a_d,0.103543946666667
4433,102.0,429.42400000000004,538.24,89.75200000000001,10.240000000000002,0.0,248.16,30.0552,136.61889133475842,85.01,27.367517600000006,3.3656,11.088,226499.84640000004,4294.24,317.5,4.5e-05,2.7941116074,16.67,1697.44,aP10_1_2a_8a,0.07995983200000012
4442,93.0,511.8,277.44,104.62,0.0,0.0,345.0,25.425800000000002,152.0,958.1,7.946734,5.222,18.375999999999998,18816.0,2559.0,420.5,0.0,3.8528865878,32.038,188.16000000000003,hP5_164_ad_d,0.06772491800000013
4475,98.0,648.175,82.6875,113.92,15.1875,0.0,790.25,63.4,162.66648110356,331.9,20.795529200000004,7.9624999999999995,19.805,1091731.6875,5185.4,334.5,0.0,3.9228750515,57.097500000000004,918.75,mC16_12_g_ij,0.0773739112499996
4476,99.0,774.9,67.6875,145.62687082097847,1.6875,0.25,275.075,31.47675,144.0153630448719,238.6,23.77635,4.035,15.085,95025.30187499999,6199.2,296.3,0.0,3.4945710695,25.295,363.0,hP8_162_d_k,0.07483977666666641
4478,103.0,521.7575,0.06308965773702596,118.178,0.1875,1.0,122.3825,28.092,94.0,20.28,4.390585,2.12509475,10.837499999999999,40279.30876875,2087.03,275.4,0.0,2.5509936329999996,27.79,2067.1875,hP4_191_a_f,0.12442239250000009
4492,93.0,558.34,233.76000000000005,102.63999999999999,0.0,0.0,392.6,25.499200000000002,156.0,958.1,7.89694,5.5680000000000005,19.184,17216.64,2791.7,420.5,0.0,3.9295457938,32.864000000000004,159.36,hP5_164_a_d_d,0.06904018799999978
