ID,exfoliation_energy (J/m^2),min:bulk_modulus (GPa),min:thermal_conductivity (W / m / K),decomposition_energy (eV/atom),min:evaporation_heat (KJ / mol),ave:num_p_valence,max:num_p_valence,min:boiling_point (K),ave:thermal_conductivity (W / m / K),ave:electron_affinity (eV),max:electron_affinity (eV),var:num_p_valence,ave:hhi_r,var:heat_capacity_molar (J / mol / K),min:melting_point (K),min:heat_of_formation (KJ / mol),max:heat_capacity_molar (J / mol / K),ave:icsd_volume (cm^3 / mol),ave:mendeleev_number,max:mendeleev_number,bandgap (eV),min:vdw_radius_uff (pm),ave:heat_capacity_molar (J / mol / K),max:thermal_conductivity (W / m / K),sum:thermal_conductivity (W / m / K),ave:vdw_radius_uff (pm),var:electron_affinity (eV),ave:bulk_modulus (GPa),perimeter_area_ratio (AA^-1),ave:atomic_volume (cm^3 / mol),ave:evaporation_heat (KJ / mol)
267,0.37970177011662354,8.3,0.52,0.03762059299999976,59.7,2.4,4.0,958.1,21.912000000000003,1.5793644,2.02067,3.84,7120.0,0.1397205600000006,490.0,227.2,25.363000000000003,25.146,77.0,93.0,0.3641000000000001,316.5,25.0578,54.0,219.12,378.9,0.29212594888703997,72.98,0.7993616279464574,14.22,307.82
3365,0.6291081821952887,7.7,0.0277,0.024368605249999398,6.54,3.2,5.0,85.01,8.68754,1.7091519520000003,3.4011897000000006,2.96,2500.0,10.11449536,53.53,79.335,31.304,31.880000000000003,78.4,102.0,0.8793,336.4,25.802799999999998,35.0,86.87539999999998,388.90000000000003,1.2962323684375043,33.13588273272951,0.991685657860217,20.620000000000005,68.708
1689,0.14480224352502652,46.798939497262666,0.02583,0.0,6.54,4.5,5.0,77.4,0.0272325,2.2008922750000006,3.4011897000000006,0.75,1250.0,0.8910749999999997,53.53,79.335,31.304,17.985,101.5,102.0,6.175199999999999,336.4,30.758999999999997,0.0277,0.21786,343.79999999999995,4.322141725384893,49.440425342374255,0.7009597893504844,17.150000000000002,9.9189638931851
5112,0.3787198997697172,76.10604085052228,0.02658,0.15206772597902152,15.579091192355275,2.909090909090909,4.0,90.19,46.38296727272727,1.2852443636363635,1.4611135,3.173553719008264,1536.3636363636365,5.175206082644629,54.8,249.229,29.378,16.948181818181816,88.45454545454545,101.0,2.6609,309.6,27.98490909090909,170.0,510.21264,338.9818181818182,0.08247987500077684,139.89530243674346,0.7903691249538366,12.780909090909091,236.05752086716745
5805,0.3319053902284797,7.7,0.449,0.0,41.95,3.105263157894737,5.0,457.5,20.04942105263158,1.9632443578947367,3.0590368,5.252077562326869,4252.631578947368,290.8789950858726,386.7,106.757,54.43,33.09,72.15789473684211,97.0,0.3861999999999999,329.5,40.46757894736842,140.0,761.878,405.11578947368423,1.7421305554902,25.931578947368422,0.34874895201599593,20.173684210526314,198.7481131748996
1578,0.23045014108951123,7.7,0.449,0.04563551666666665,41.95,3.333333333333333,5.0,457.5,53.632666666666665,2.7437670513270485,3.0590368,5.555555555555555,3366.6666666666665,194.18949355555554,386.7,106.757,54.43,36.166666666666664,88.99999999999999,97.0,3.5367999999999995,302.1,44.576333333333324,160.0,160.898,400.7,0.19879002885661134,20.133333333333333,0.9245981922205294,21.799999999999997,71.9
3690,0.7023898437831255,11.0,0.02658,0.09237440604167713,15.579091192355275,3.0,4.0,90.19,48.563148,1.2112944,1.4611135,2.4,1890.0,6.420219039999998,54.8,159.3,29.378,17.558,87.0,101.0,2.4231000000000003,245.1,27.321599999999997,400.0,971.2629599999999,352.4,0.11588283158789,62.96362451031336,0.6315538305420137,13.82,64.56745471541318
5244,0.6826361896590394,17.0,0.02658,0.19682696744047856,15.579091192355275,3.142857142857143,4.0,90.19,35.44376,1.1372862857142856,1.4611135,1.8367346938775508,1471.4285714285713,3.8001395510204086,54.8,177.8,29.378,24.864285714285714,85.14285714285714,101.0,1.6827,339.9,27.700142857142858,200.0,496.21264,374.84285714285716,0.23918638175891832,57.91773762886987,0.8315807524444685,17.52857142857143,86.61662353848872
3639,0.30796441074156955,11.0,0.02658,0.0061513216666657655,0.904,1.3333333333333333,4.0,20.28,28.402359999999998,0.9444524999999999,1.4611135,3.555555555555556,2710.51715292488,4.057184888888889,14.01,159.3,29.378,23.669999999999998,72.0,103.0,3.9169,245.1,27.69133333333333,85.0,170.41415999999998,294.5666666666666,0.1365585833465,47.96856012557332,1.1156691899831115,13.733333333333333,54.82769706411842
4105,0.5448359561223829,76.10604085052228,0.02658,0.17151756666666618,15.579091192355275,2.6666666666666665,4.0,90.19,17.984386666666666,1.5127902132927769,2.5700308197566617,3.5555555555555554,1083.3333333333333,3.420890333333335,54.8,249.229,29.378,15.459999999999999,88.0,101.0,0.0,287.2,28.107,100.0,107.90632,330.54999999999995,0.3086412160388994,100.73736056701485,1.083300263667658,11.681666666666665,112.06939412823684
